index,area,pop,sex,x_LDI_id_Updated_7July2011,x_ihme_health_system_access_19jul2011,year
201,VNM,42451.5729971,female,-0.453733466158,2.008594,2005.0
202,VNM,43651.4050632,male,,2.008594,2010.0
203,VNM,44713.5024869,female,,2.008594,2010.0
204,AUS,8562.36426095,male,0.678496205689,2.008594,1990.0
205,AUS,8606.28316871,female,0.678496205689,2.008594,1990.0
206,AUS,10214.0060222,male,1.14486547959,2.008594,2005.0
207,AUS,10310.9880922,female,1.14486547959,2.008594,2005.0
208,AUS,10786.64086,male,,2.008594,2010.0
209,AUS,10846.6656905,female,,2.008594,2010.0
210,NZL,1687.21887562,male,0.447215371568,2.008594,1990.0
211,NZL,1738.05789276,female,0.447215371568,2.008594,1990.0
212,NZL,2043.48463575,male,0.698930356078,2.008594,2005.0
213,NZL,2117.94764928,female,0.698930356078,2.008594,2005.0
214,NZL,2157.55812746,male,,2.008594,2010.0
215,NZL,2227.00305792,female,,2.008594,2010.0
216,ATG,30.5477600502,male,-0.0223898469833,2.008594,1990.0
217,ATG,30.9093878805,female,-0.0223898469833,2.008594,1990.0
218,ATG,39.8995469201,male,0.188047467122,2.008594,2005.0
219,ATG,40.4991936044,female,0.188047467122,2.008594,2005.0
220,ATG,42.5112115492,male,,2.008594,2010.0
221,ATG,43.1867054611,female,,2.008594,2010.0
222,BHS,128.19893307,male,0.688365290694,2.008594,1990.0
223,BHS,130.014174879,female,0.688365290694,2.008594,1990.0
224,BHS,156.848767624,male,0.814781960009,2.008594,2005.0
225,BHS,164.428005381,female,0.814781960009,2.008594,2005.0
226,BHS,168.333980298,male,,2.008594,2010.0
227,BHS,176.066188441,female,,2.008594,2010.0
228,BLZ,95.0429435401,male,-0.33058738446,2.008594,1990.0
229,BLZ,96.6163033206,female,-0.33058738446,2.008594,1990.0
230,BLZ,139.434383623,male,-0.18470365498,2.008594,2005.0
231,BLZ,142.438951859,female,-0.18470365498,2.008594,2005.0
232,BLZ,154.607557412,male,,2.008594,2010.0
233,BLZ,158.149753929,female,,2.008594,2010.0
234,BRB,125.937505029,male,0.400146187306,2.008594,1990.0
235,BRB,136.083133491,female,0.400146187306,2.008594,1990.0
236,BRB,135.397119029,male,0.486981443331,2.008594,2005.0
237,BRB,137.174541038,female,0.486981443331,2.008594,2005.0
238,BRB,136.456360485,male,,2.008594,2010.0
239,BRB,138.233732173,female,,2.008594,2010.0
240,CUB,5351.18598983,male,-0.144452269545,2.008594,1990.0
241,CUB,5272.90932814,female,-0.144452269545,2.008594,1990.0
242,CUB,5688.19691797,male,-0.20452583159,2.008594,2005.0
243,CUB,5622.31793034,female,-0.20452583159,2.008594,2005.0
244,CUB,5705.49556132,male,,2.008594,2010.0
245,CUB,5633.69641203,female,,2.008594,2010.0
246,DMA,33.9098116769,male,-0.290259586829,2.008594,1990.0
247,DMA,34.2934208356,female,-0.290259586829,2.008594,1990.0
248,DMA,34.304595641,male,-0.203867251053,2.008594,2005.0
249,DMA,34.867262781,female,-0.203867251053,2.008594,2005.0
250,DMA,34.6262356243,male,,2.008594,2010.0
251,DMA,35.225025602,female,,2.008594,2010.0
252,DOM,3653.91771249,male,-0.335631369617,2.008594,1990.0
253,DOM,3584.998688,female,-0.335631369617,2.008594,1990.0
254,DOM,4677.31479678,male,-0.222856383884,2.008594,2005.0
255,DOM,4629.14215073,female,-0.222856383884,2.008594,2005.0
256,DOM,5000.84305528,male,,2.008594,2010.0
257,DOM,4966.53913331,female,,2.008594,2010.0
258,GRD,47.6625201855,male,-0.257113651306,2.008594,1990.0
259,GRD,48.9375649333,female,-0.257113651306,2.008594,1990.0
260,GRD,51.5583080537,male,-0.0681556025207,2.008594,2005.0
261,GRD,52.162667998,female,-0.0681556025207,2.008594,2005.0
262,GRD,52.4751020669,male,,2.008594,2010.0
263,GRD,52.4364954517,female,,2.008594,2010.0
264,GUY,363.461910711,male,-0.43199313017,2.008594,1990.0
265,GUY,374.008369733,female,-0.43199313017,2.008594,1990.0
266,GUY,363.746785615,male,-0.372159520105,2.008594,2005.0
267,GUY,362.660575899,female,-0.372159520105,2.008594,2005.0
268,GUY,380.922673244,male,,2.008594,2010.0
269,GUY,377.839185407,female,,2.008594,2010.0
270,HTI,3533.95289258,male,-0.464539575868,2.008594,1990.0
